year,leaid,lea_name,fips
2011,100002,Alabama Youth Services,Alabama
2011,100005,Albertville City,Alabama
2011,100006,Marshall County,Alabama
2011,100007,Hoover City,Alabama
2011,100008,Madison City,Alabama
2011,100009,Al Inst Deaf And Blind,Alabama
2011,100011,Leeds City,Alabama
2011,100012,Boaz City,Alabama
2011,100013,Trussville City,Alabama
2011,100015,Safetynet Academy,Alabama
2011,100030,Alexander City,Alabama
2011,100033,Glenwood Mental Health Service,Alabama
2011,100060,Andalusia City,Alabama
2011,100090,Anniston City,Alabama
2011,100100,Arab City,Alabama
2011,100120,Athens City,Alabama
2011,100176,Alabama Correctional Facilities,Alabama
2011,100180,Attalla City,Alabama
2011,100185,Saraland City,Alabama
2011,100210,Auburn City,Alabama
2011,100240,Autauga County,Alabama
2011,100270,Baldwin County,Alabama
2011,100300,Barbour County,Alabama
2011,100330,Bessemer City,Alabama
2011,100360,Bibb County,Alabama
2011,100390,Birmingham City,Alabama
2011,100420,Blount County,Alabama
2011,100450,Brewton City,Alabama
2011,100480,Bullock County,Alabama
2011,100510,Butler County,Alabama
2011,100540,Calhoun County,Alabama
2011,100600,Chambers County,Alabama
2011,100630,Cherokee County,Alabama
2011,100660,Chilton County,Alabama
2011,100690,Choctaw County,Alabama
2011,100720,Clarke County,Alabama
2011,100750,Clay County,Alabama
2011,100780,Cleburne County,Alabama
2011,100810,Coffee County,Alabama
2011,100840,Colbert County,Alabama
2011,100870,Conecuh County,Alabama
2011,100900,Coosa County,Alabama
2011,100930,Covington County,Alabama
2011,100960,Crenshaw County,Alabama
2011,100990,Cullman City,Alabama
2011,101020,Cullman County,Alabama
2011,101050,Dale County,Alabama
2011,101080,Daleville City,Alabama
2011,101110,Dallas County,Alabama
2011,101140,Dekalb County,Alabama
2011,101170,Decatur City,Alabama
2011,101200,Demopolis City,Alabama
2011,101230,Dothan City,Alabama
2011,101260,Elba City,Alabama
2011,101290,Elmore County,Alabama
2011,101320,Enterprise City,Alabama
2011,101350,Escambia County,Alabama
2011,101380,Etowah County,Alabama
2011,101410,Eufaula City,Alabama
2011,101440,Fairfield City,Alabama
2011,101470,Fayette County,Alabama
2011,101530,Florence City,Alabama
2011,101560,Fort Payne City,Alabama
2011,101590,Franklin County,Alabama
2011,101620,Gadsden City,Alabama
2011,101640,Geneva City,Alabama
2011,101660,Geneva County,Alabama
2011,101680,Greene County,Alabama
2011,101690,Guntersville City,Alabama
2011,101710,Hale County,Alabama
2011,101720,Haleyville City,Alabama
2011,101730,Hartselle City,Alabama
2011,101740,Henry County,Alabama
2011,101760,Homewood City,Alabama
2011,101770,Houston County,Alabama
2011,101800,Huntsville City,Alabama
2011,101830,Jackson County,Alabama
2011,101860,Jacksonville City,Alabama
2011,101890,Jasper City,Alabama
2011,101920,Jefferson County,Alabama
2011,101950,Lamar County,Alabama
2011,101980,Lanett City,Alabama
2011,102010,Lauderdale County,Alabama
2011,102040,Lawrence County,Alabama
2011,102070,Lee County,Alabama
2011,102100,Limestone County,Alabama
2011,102130,Linden City,Alabama
2011,102160,Lowndes County,Alabama
2011,102190,Macon County,Alabama
2011,102220,Madison County,Alabama
2011,102250,Marengo County,Alabama
2011,102310,Marion County,Alabama
2011,102350,Midfield City,Alabama
2011,102370,Mobile County,Alabama
2011,102400,Monroe County,Alabama
2011,102430,Montgomery County,Alabama
2011,102480,Morgan County,Alabama
2011,102490,Mountain Brook City,Alabama
2011,102520,Muscle Shoals City,Alabama
2011,102550,Oneonta City,Alabama
2011,102580,Opelika City,Alabama
2011,102610,Opp City,Alabama
2011,102635,Oxford City,Alabama
2011,102640,Ozark City,Alabama
2011,102650,Pell City,Alabama
2011,102670,Perry County,Alabama
2011,102700,Phenix City,Alabama
2011,102730,Pickens County,Alabama
2011,102760,Piedmont City,Alabama
2011,102790,Pike County,Alabama
2011,102820,Randolph County,Alabama
2011,102850,Roanoke City,Alabama
2011,102880,Russell County,Alabama
2011,102910,Russellville City,Alabama
2011,102940,Scottsboro City,Alabama
2011,102970,Selma City,Alabama
2011,103000,Sheffield City,Alabama
2011,103030,Shelby County,Alabama
2011,103062,St Clair County,Alabama
2011,103090,Sumter County,Alabama
2011,103120,Sylacauga City,Alabama
2011,103150,Talladega City,Alabama
2011,103180,Talladega County,Alabama
2011,103210,Tallapoosa County,Alabama
2011,103240,Tallassee City,Alabama
2011,103270,Tarrant City,Alabama
2011,103300,Thomasville City,Alabama
2011,103330,Troy City,Alabama
2011,103360,Tuscaloosa City,Alabama
2011,103390,Tuscaloosa County,Alabama
2011,103420,Tuscumbia City,Alabama
2011,103430,Vestavia Hills City,Alabama
2011,103450,Walker County,Alabama
2011,103480,Washington County,Alabama
2011,103510,Wilcox County,Alabama
2011,103540,Winfield City,Alabama
2011,103580,Winston County,Alabama
2011,200001,Lower Kuskokwim School District,Alaska
2011,200003,Lower Yukon School District,Alaska
2011,200004,Yupiit School District,Alaska
2011,200007,Aleutians East Borough School District,Alaska
2011,200010,Aleutian Region School District,Alaska
2011,200020,Bering Strait School District,Alaska
2011,200030,Bristol Bay Borough School District,Alaska
2011,200050,Alaska Gateway School District,Alaska
2011,200060,Cordova City School District,Alaska
2011,200070,Copper River School District,Alaska
2011,200090,Craig City School District,Alaska
2011,200100,Delta/Greely School District,Alaska
2011,200120,Dillingham City School District,Alaska
2011,200130,Galena City School District,Alaska
2011,200150,Ketchikan Gateway Borough School District,Alaska
2011,200180,Anchorage School District,Alaska
2011,200210,Juneau Borough School District,Alaska
2011,200240,Sitka School District,Alaska
2011,200270,Haines Borough School District,Alaska
2011,200300,Hoonah City School District,Alaska
2011,200330,Hydaburg City School District,Alaska
2011,200390,Kenai Peninsula Borough School District,Alaska
2011,200480,Kodiak Island Borough School District,Alaska
2011,200485,Lake And Peninsula Borough School District,Alaska
2011,200510,Matanuska-Susitna Borough School District,Alaska
2011,200520,Iditarod Area School District,Alaska
2011,200525,Annette Island School District,Alaska
2011,200540,Nenana City School District,Alaska
2011,200570,Nome Public Schools,Alaska
2011,200600,Fairbanks North Star Borough School District,Alaska
2011,200610,North Slope Borough School District,Alaska
2011,200625,Northwest Arctic Borough School District,Alaska
2011,200660,Petersburg City School District,Alaska
2011,200670,Pribilof School District,Alaska
2011,200700,Southeast Island School District,Alaska
2011,200710,Southwest Region School District,Alaska
2011,200720,Unalaska City School District,Alaska
2011,200730,Chatham School District,Alaska
2011,200760,Kuspuk School District,Alaska
2011,200770,Denali Borough School District,Alaska
2011,200775,Yukon Flats School District,Alaska
2011,200780,Valdez City School District,Alaska
2011,200800,Chugach School District,Alaska
2011,200810,Wrangell Public School District,Alaska
2011,200862,Yukon/Koyukuk School District,Alaska
2011,400001,Cave Creek Unified District,Arizona
2011,400003,Chino Valley Unified District,Arizona
2011,400016,Center For Academic Success  Inc.,Arizona
2011,400021,Colorado City Unified District,Arizona
2011,400023,Pinon Unified District,Arizona
2011,400026,Heber-Overgaard Unified District,Arizona
2011,400047,Salt River Pima-Maricopa  Community Schools,Arizona
2011,400052,Espiritu Community Development Corp.,Arizona
2011,400055,Edupreneurship  Inc.,Arizona
2011,400065,Benjamin Franklin Charter School,Arizona
2011,400068,Montessori Day Public Schools Chartered  Inc.,Arizona
2011,400072,Montessori Education Centre Charter School,Arizona
2011,400074,Kingman Academy Of Learning,Arizona
2011,400077,Career Development  Inc.,Arizona
2011,400078,Edge School  Inc.  The,Arizona
2011,400079,Tucson Youth Development/Ace Charter High School,Arizona
2011,400082,Colorado River Union High School District,Arizona
2011,400083,Portable Practical Educational Preparation  Inc. (Ppep  Inc.,Arizona
2011,400101,Omega Schools D.b.a. Omega Academy  Inc.,Arizona
2011,400103,Ombudsman Educational Services  Ltd. A Subsidiary Of Educati,Arizona
2011,400107,International Commerce Secondary Schools  Inc.,Arizona
2011,400108,Humanities And Sciences Academy Of The United States  Inc.,Arizona
2011,400112,American Leadership Academy  Inc.,Arizona
2011,400120,Arizona Department Of Corrections,Arizona
2011,400126,Montessori Schoolhouse Of Tucson  Inc.,Arizona
2011,400128,Academy Of Excellence  Inc.,Arizona
2011,400130,American Heritage Academy,Arizona
2011,400131,The Charter Foundation  Inc.,Arizona
2011,400133,Employ-Ability Unlimited  Inc.,Arizona
2011,400152,New West School,Arizona
2011,400157,Sequoia Choice Schools  Lllp,Arizona
2011,400161,Westwind Children's Services,Arizona
2011,400163,Coconino County Regional Accommodation Sd,Arizona
2011,400164,Arizona Academy Of Science And Technology  Inc.,Arizona
2011,400182,Cambridge Academy  East   Inc,Arizona
2011,400190,Liberty Traditional Charter School,Arizona
2011,400191,Fit Kids  Inc. Dba Champion Schools,Arizona
2011,400197,Northern Arizona Vocational Institute Of Technology,Arizona
2011,400202,Academy Of Tucson  Inc.,Arizona
